porsche992rgt3;Race;RACE;bathurst
Realistic;Clear;19C;track;19C;Winds;SE;14km/h;RH;94%;Fog;0%;Rain;0%
;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing; R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;234;2:03.793;22.983;26.136;18.339;11.129;25.916;21.974;12;30:55.611;2:34.634;3.227;55.053;3.227;100.0;0.0;0.0;--;--;2:11:46;63.0;152.0;;26.1 °C;
;235;2:03.231;23.015;24.220;17.606;11.040;25.898;21.896;13;32:58.842;2:32.219;3.227;51.829;3.227;100.0;0.0;0.0;--;--;2:09:43;63.0;152.0;;25.6 °C;
;236;2:03.262;22.966;23.900;17.599;10.943;25.961;21.866;14;35:02.104;2:30.150;3.227;48.606;3.227;100.0;0.0;0.0;--;--;2:07:39;62.0;152.1;;25.6 °C;
;237;2:03.371;22.892;23.932;17.613;10.982;25.941;21.904;15;37:05.475;2:28.365;3.227;45.370;3.227;100.0;0.0;0.0;--;--;2:05:36;61.0;152.1;;25.0 °C;
;238;2:03.077;22.934;23.855;17.541;10.938;25.862;21.910;16;39:08.553;2:26.785;3.227;42.154;3.227;100.0;0.0;0.0;--;--;2:03:32;60.0;152.1;;25.0 °C;
;239;2:02.990;22.877;23.923;17.582;10.961;25.815;21.850;17;41:11.543;2:25.385;3.227;38.923;3.227;100.0;0.0;0.0;--;--;2:01:30;59.0;152.1;;25.0 °C;
;240;2:03.955;22.911;23.845;17.525;11.717;25.993;21.865;18;43:15.498;2:24.194;3.227;35.695;3.227;100.0;0.0;0.0;--;--;1:59:25;58.0;152.1;;24.4 °C;
;241;2:04.370;23.208;24.483;18.358;11.755;27.116;22.732;--;--;--;--;32.461;--;100.0;0.0;0.0;--;--;1:57:22;--;--;PIT;23.9 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;165 kPa; ; ;
;LF O M I;65C;70C;77C;;RF I M O;78C;71C;68C;
;Tread;99.46%;89.02%;88.73%;;Tread;88.67%;89.11%;98.67%;
;Cold Pressure;161 kPa; ; ;;Cold Pressure;161 kPa; ; ;
;LR O M I;68C;70C;76C;;RR I M O;78C;72C;70C;
;Tread;95.86%;88.89%;89.22%;;Tread;88.28%;87.97%;94.21%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;242;4:22.933;22.948;26.409;39.514;19.043;1:04.133;22.290;--;--;--;--;93.776;--;100.0;0.0;0.0;--;--;1:52:59;--;--;OUT 44.9 / 22.4;24.4 °C;
;243;4:46.000;47.352;48.626;44.580;11.509;1:07.973;46.169;1;4:46.000;4:46.000;3.227;90.559;3.227;100.0;0.0;0.0;--;--;1:48:13;54.0;84.3;;25.0 °C;
;244;4:12.116;53.738;47.444;40.089;19.436;1:03.015;45.875;2;8:58.116;4:29.058;3.227;72.738;3.227;100.0;0.0;0.0;--;--;1:44:00;53.0;84.3;;24.4 °C;
;245;2:06.303;23.330;25.012;18.427;11.782;28.233;26.511;3;11:04.419;3:41.473;3.227;69.517;3.227;100.0;0.0;0.0;--;--;1:41:54;40.0;60.1;;25.0 °C;
;246;4:21.483;36.804;48.336;43.117;19.817;1:02.519;25.212;4;15:25.902;3:51.476;3.227;66.279;3.227;100.0;0.0;0.0;--;--;1:37:32;39.0;60.2;;24.4 °C;
;247;4:19.655;23.127;24.867;18.153;11.124;25.782;22.038;5;19:45.558;3:57.112;3.227;63.054;3.227;100.0;0.0;0.0;--;--;1:33:13;30.0;34.3;;23.9 °C;
;248;2:05.235;23.127;24.867;18.153;11.124;25.782;22.038;6;21:50.793;3:38.466;3.227;59.834;3.227;100.0;0.0;0.0;--;--;1:31:07;24.0;21.4;;23.9 °C;
;249;2:04.153;23.127;24.867;18.153;11.124;25.782;22.038;7;23:54.946;3:24.992;3.227;56.606;3.227;100.0;0.0;0.0;--;--;1:29:04;28.0;34.3;;23.9 °C;
;250;3:29.243;23.127;24.867;18.153;11.124;25.782;22.038;8;27:24.189;3:25.524;3.227;53.380;3.227;100.0;0.0;0.0;--;--;1:25:34;33.0;53.7;;23.9 °C;
;251;2:03.542;23.127;24.867;18.153;11.124;25.782;22.038;9;29:27.731;3:16.415;3.227;50.161;3.227;100.0;0.0;0.0;--;--;1:23:31;28.0;40.8;;23.3 °C;
;252;2:03.226;23.127;24.867;18.153;11.124;25.782;22.038;10;31:30.956;3:09.096;3.227;46.917;3.227;100.0;0.0;0.0;--;--;1:21:28;34.0;63.4;;23.3 °C;
;253;2:03.992;23.127;24.867;18.153;11.124;25.782;22.038;11;33:34.948;3:03.177;3.227;43.704;3.227;100.0;0.0;0.0;--;--;1:19:24;39.0;82.8;;23.3 °C;
;254;2:02.801;23.127;24.867;18.153;11.124;25.782;22.038;12;35:37.749;2:58.146;3.227;40.479;3.227;100.0;0.0;0.0;--;--;1:17:20;38.0;82.8;;23.3 °C;
;255;2:02.796;23.127;24.867;18.153;11.124;25.782;22.038;13;37:40.544;2:53.888;3.227;37.240;3.227;100.0;0.0;0.0;--;--;1:15:18;37.0;82.7;;23.3 °C;
;256;2:02.532;23.127;24.867;18.153;11.124;25.782;22.038;14;39:43.076;2:50.220;3.227;34.015;3.227;100.0;0.0;0.0;--;--;1:13:15;36.0;82.8;;23.3 °C;
;257;2:02.392;23.127;24.867;18.153;11.124;25.782;22.038;15;41:45.468;2:47.031;3.227;30.795;3.227;100.0;0.0;0.0;--;--;1:11:13;35.0;82.8;;23.3 °C;
;258;2:02.764;23.127;24.867;18.153;11.124;25.782;22.038;16;43:48.232;2:44.265;3.227;27.572;3.227;100.0;0.0;0.0;--;--;1:09:10;34.0;82.7;;23.3 °C;
;259;2:02.763;23.127;24.867;18.153;11.124;25.782;22.038;17;45:50.995;2:41.823;3.227;24.333;3.227;100.0;0.0;0.0;--;--;1:07:07;33.0;82.8;;23.3 °C;
;260;2:02.809;22.846;23.575;17.496;10.752;25.736;21.665;18;47:53.804;2:39.656;3.227;21.117;3.227;100.0;0.0;0.0;--;--;1:05:04;32.0;82.8;;23.3 °C;
;261;2:02.723;22.769;23.581;17.548;10.831;25.748;21.700;19;49:56.527;2:37.712;3.227;17.873;3.227;100.0;0.0;0.0;--;--;1:03:02;31.0;82.7;;23.3 °C;
;262;2:02.319;22.836;23.578;17.511;10.738;25.759;21.673;20;51:58.847;2:35.942;3.227;14.646;3.227;100.0;0.0;0.0;--;--;1:00:59;30.0;82.8;;23.3 °C;
;263;2:02.938;22.828;23.609;17.506;10.727;25.654;21.660;21;54:01.785;2:34.371;3.227;11.433;3.227;100.0;0.0;0.0;--;--;0:58:57;29.0;82.8;;23.3 °C;
;264;2:03.439;22.934;23.637;18.258;10.786;25.736;21.727;--;--;--;--;8.197;--;100.0;0.0;0.0;--;--;0:56:52;--;--;PIT;23.3 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;165 kPa; ; ;
;LF O M I;65C;70C;77C;;RF I M O;78C;71C;68C;
;Tread;99.46%;89.02%;88.73%;;Tread;88.67%;89.11%;98.67%;
;Cold Pressure;161 kPa; ; ;;Cold Pressure;161 kPa; ; ;
;LR O M I;68C;70C;76C;;RR I M O;78C;72C;70C;
;Tread;95.86%;88.89%;89.22%;;Tread;88.28%;87.97%;94.21%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;265;2:58.568;22.961;23.958;17.702;11.204;25.948;22.143;--;--;--;--;83.242;--;100.0;0.0;0.0;--;--;0:53:54;--;--;OUT 57.6 / 35.1;23.3 °C;
;266;2:03.966;23.070;23.881;17.643;11.143;25.934;21.933;1;2:03.966;2:03.966;3.227;80.034;3.227;100.0;0.0;0.0;--;--;0:51:51;26.0;4.5;;23.3 °C;
;267;2:03.105;23.119;24.143;17.782;11.220;26.477;23.684;2;4:07.071;2:03.536;3.227;76.797;3.227;100.0;0.0;0.0;--;--;0:49:48;25.0;4.5;;23.3 °C;
;268;2:03.088;23.142;23.907;17.751;11.201;25.990;22.527;3;6:10.159;2:03.386;3.227;73.557;3.227;100.0;0.0;0.0;--;--;0:47:44;24.0;4.5;;23.3 °C;
;269;2:03.041;22.939;24.263;17.736;11.128;25.729;22.019;4;8:13.200;2:03.300;3.227;70.334;3.227;100.0;0.0;0.0;--;--;0:45:41;23.0;4.5;;23.3 °C;
;270;2:02.817;22.992;23.828;18.083;13.266;25.901;21.779;5;10:16.017;2:03.203;3.227;67.107;3.227;100.0;0.0;0.0;--;--;0:43:38;22.0;4.5;;23.3 °C;
;271;2:04.018;22.992;23.912;18.083;10.942;26.142;21.785;6;12:20.034;2:03.339;3.227;63.887;3.227;100.0;0.0;0.0;--;--;0:41:35;21.0;4.5;;23.3 °C;
;272;2:02.666;23.093;23.911;18.083;11.059;26.142;21.880;7;14:22.701;2:03.243;3.227;60.661;3.227;100.0;0.0;0.0;--;--;0:39:32;20.0;4.5;;22.8 °C;
;273;2:02.760;23.321;25.684;20.104;49.464;43.923;28.567;8;16:25.461;2:03.183;3.227;57.424;3.227;100.0;0.0;0.0;--;--;0:37:30;19.0;4.5;;22.8 °C;
;274;2:02.592;23.119;24.121;17.821;11.301;26.029;22.195;9;18:28.052;2:03.117;3.227;54.211;3.227;100.0;0.0;0.0;--;--;0:35:26;18.0;4.5;;22.8 °C;
;275;2:02.557;23.023;23.897;17.822;11.114;25.962;21.923;10;20:30.609;2:03.061;3.227;50.972;3.227;100.0;0.0;0.0;--;--;0:33:25;17.0;4.5;;22.8 °C;
;276;2:02.691;23.017;23.969;17.725;11.149;26.024;21.904;11;22:33.300;2:03.027;3.227;47.754;3.227;100.0;0.0;0.0;--;--;0:31:21;16.0;4.5;;22.8 °C;
;277;2:02.513;23.127;24.867;18.153;11.124;25.782;22.038;12;24:35.813;2:02.984;3.227;44.524;3.227;100.0;0.0;0.0;--;--;0:29:19;15.0;4.5;;22.8 °C;
;278;2:03.113;23.127;24.867;18.153;11.124;25.782;22.038;13;26:38.926;2:02.994;3.227;41.294;3.227;100.0;0.0;0.0;--;--;0:27:16;14.0;4.5;;22.8 °C;
;279;2:02.456;23.127;24.867;18.153;11.124;25.782;22.038;14;28:41.382;2:02.956;3.227;38.071;3.227;100.0;0.0;0.0;--;--;0:25:14;13.0;4.5;;22.8 °C;
;280;2:02.828;23.127;24.867;18.153;11.124;25.782;22.038;15;30:44.210;2:02.947;3.227;34.839;3.227;100.0;0.0;0.0;--;--;0:23:10;12.0;4.5;;22.8 °C;
;281;2:02.278;23.127;24.867;18.153;11.124;25.782;22.038;16;32:46.488;2:02.906;3.227;31.605;3.227;100.0;0.0;0.0;--;--;0:21:09;11.0;4.5;;22.8 °C;
;282;2:02.339;23.127;24.867;18.153;11.124;25.782;22.038;17;34:48.827;2:02.872;3.227;28.379;3.227;100.0;0.0;0.0;--;--;0:19:06;10.0;4.5;;22.8 °C;
;283;2:02.210;23.127;24.867;18.153;11.124;25.782;22.038;18;36:51.037;2:02.835;3.227;25.167;3.227;100.0;0.0;0.0;--;--;0:17:03;9.0;4.5;;22.8 °C;
;284;2:02.239;23.127;24.867;18.153;11.124;25.782;22.038;19;38:53.276;2:02.804;3.227;21.929;3.227;100.0;0.0;0.0;--;--;0:15:01;8.0;4.5;;22.8 °C;
;285;2:02.723;23.127;24.867;18.153;11.124;25.782;22.038;20;40:55.999;2:02.800;3.227;18.709;3.227;100.0;0.0;0.0;--;--;0:12:59;7.0;4.5;;22.8 °C;
;286;2:03.257;23.127;24.867;18.153;11.124;25.782;22.038;21;42:59.256;2:02.822;3.227;15.477;3.227;100.0;0.0;0.0;--;--;0:10:55;6.0;4.5;;22.2 °C;
;287;2:03.930;23.127;24.867;18.153;11.124;25.782;22.038;22;45:03.186;2:02.872;3.227;12.244;3.227;100.0;0.0;0.0;--;--;0:08:51;5.0;4.5;;22.2 °C;
;288;4:14.515;23.127;24.867;18.153;11.124;25.782;22.038;23;49:17.701;2:08.596;3.227;9.018;3.227;100.0;0.0;0.0;--;--;0:04:37;4.0;4.5;;22.2 °C;
;289;2:03.771;23.127;24.867;18.153;11.124;25.782;22.038;24;51:21.471;2:08.395;3.227;5.793;3.227;100.0;0.0;0.0;--;--;0:02:33;2.0;1.3;;22.2 °C;
;290;2:02.235;23.127;24.867;18.153;11.124;25.782;22.038;25;53:23.706;2:08.148;3.227;2.574;3.227;100.0;0.0;0.0;--;--;0:00:31;1.0;1.3;;22.2 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;165 kPa; ; ;
;LF O M I;65C;70C;77C;;RF I M O;78C;71C;68C;
;Tread;99.46%;89.02%;88.73%;;Tread;88.67%;89.11%;98.67%;
;Cold Pressure;161 kPa; ; ;;Cold Pressure;161 kPa; ; ;
;LR O M I;68C;70C;76C;;RR I M O;78C;72C;70C;
;Tread;95.86%;88.89%;89.22%;;Tread;88.28%;87.97%;94.21%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
